Name,OnetID,Median Salary,Industry,Education
"Teaching Assistants, Special Education",25-9043.00,29360,Human Resources,HighSchool
Pediatric Surgeons,29-1243.00,208000,Health,Doctorate
Histotechnologists,29-2011.04,57800,Health,Masters
Histology Technicians,29-2012.01,57800,Health,Bachelors
Emergency Medical Technicians,29-2042.00,35470,Health,HighSchool
Paramedics,29-2043.00,46770,Health,HighSchool
Medical Records Specialists,29-2072.00,46660,Health,HighSchool
Health Information Technologists and Medical Registrars,29-9021.00,55560,Health,HighSchool
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",39-1014.00,44870,Human Resources,HighSchool
First-Line Supervisors of Personal Service Workers,39-1022.00,40390,Human Resources,Bachelors
"Earth Drillers, Except Oil and Gas",47-5023.00,48250,Manufacturing,HighSchool
"Explosives Workers, Ordnance Handling Experts, and Blasters",47-5032.00,53040,Manufacturing,HighSchool
First-Line Supervisors of Material- Moving Machine and Vehicle Operators,53-1043.00,54850,Human Resources,HighSchool
First-Line Supervisors of Passenger Attendants,53-1044.00,54850,Human Resources,Bachelors
"Bus Drivers, School",53-3051.00,37910,Human Resources,HighSchool
Shuttle Drivers and Chauffeurs,53-3053.00,30000,Human Resources,HighSchool
Taxi Drivers,53-3054.00,29310,Human Resources,HighSchool
"Entertainment and Recreation Managers, Except Gambling",11-9072.00,62000,Human Resources,Bachelors
Project Management Specialists,13-1082.00,94500,Engineering,Bachelors
Appraisers of Personal and Business Property,13-2022.00,61340,Business,Bachelors
Penetration Testers,15-1299.04,95270,Engineering,Bachelors
Information Security Engineers,15-1299.05,95270,Engineering,Bachelors
Digital Forensics Analysts,15-1299.06,95270,Engineering,Bachelors
Blockchain Engineers,15-1299.07,95270,Engineering,Bachelors
Data Scientists,15-2051.00,100910,Engineering,Masters
Hydrologic Technicians,19-4044.00,62280,Engineering,Bachelors
"Substitute Teachers, Short-Term",25-3031.00,30100,Human Resources,HighSchool
"Disc Jockeys, Except Radio",27-2091.00,30000,Human Resources,HighSchool
Lighting Technicians,27-4015.00,51470,Manufacturing,HighSchool
Cardiologists,29-1212.00,208000,Health,Doctorate
Emergency Medicine Physicians,29-1214.00,208000,Health,Doctorate
Medical Dosimetrists,29-2036.00,127270,Health,Doctorate
First-Line Supervisors of Security Workers,33-1091.00,50240,Human Resources,HighSchool
School Bus Monitors,33-9094.00,29100,Human Resources,HighSchool
Crematory Operators,39-4012.00,37490,Human Resources,HighSchool
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-3091.00,60550,Human Resources,Bachelors
Aircraft Service Attendants,53-6032.00,36390,Human Resources,HighSchool
