Name, Description, isAP, isHonors, isIntroductory, RecommendedSkills, PreRequisites, Intensity, industries, textbooks, field
"AP Literature & Composition","This course is designed to engage students in the careful reading and critical analysis of imaginative literature. Through the close reading of selected texts, students deepen their understanding of the ways writers use language to provide both meaning and pleasure for their readers. As they read, students consider a work’s structure, style and themes, as well as its use of figurative language, imagery, symbolism and tone.","1","0","0","Strong reading, writing, and analytical skills","11th grade English Language Arts","6","Education, Publishing, Journalism","The Norton Anthology of American Literature, The Norton Introduction to Literature, How to Read Literature Like a Professor","English"
"Journalism","This course teaches students the basics of journalism, including news writing, interviewing, and reporting. Students will learn how to write news stories, feature articles, and editorials, as well as how to conduct research and develop sources. They will also learn about the history and ethics of journalism and the role of the media in society.","0","0","0","Strong writing and communication skills, critical thinking skills","None","5","Media and Communications","Journalism: Ethics and Issues by Karen B. Dunlap, Writing and Reporting News: A Coaching Method by Carole Rich","CTAE"
"Intro to Art", "This course provides a foundation in the principles and elements of art and design, with a focus on developing fundamental skills and techniques in various media such as drawing, painting, and sculpture.", "0", "0", "1", "", "", "6", "Art", "Art Fundamentals: Theory and Practice", "Art"
"Design Fundamentals","This course introduces students to the elements of design such as line, shape, color, texture, space, and form. Students will learn how to create visual compositions and solve design problems using various design principles. Through hands-on projects, students will develop their design skills and learn how to use design software such as Adobe Photoshop and Illustrator.","0","0","1","Creativity, Attention to Detail, Critical Thinking","None","6","Art","Design Basics","Art"
"Ceramics","This course introduces students to the basic techniques and principles of ceramics. Students will learn how to work with clay to create functional and decorative pieces. Emphasis is placed on the development of skills in hand-building, wheel throwing, and glazing. Students will also study the history of ceramics and its cultural significance. This course may involve the use of materials that may be messy and/or stain clothing.","0","0","1","N/A","N/A", "4","Art","The Complete Guide to High-Fire Glazes: Glazing & Firing at Cone 10 (A Lark Ceramics Book) by John Britt; The Complete Potter's Companion by Tony Birks."
"Drawing and Painting","This course teaches the principles and techniques of drawing and painting using a variety of materials and mediums. Students will explore composition, color theory, and techniques such as shading, blending, and layering. Emphasis is placed on developing technical skills and individual creativity.","0","0","1","Basic drawing skills","None", "6","Art","Drawing and Painting by Kate Wilson, Color and Light by James Gurney","Art"
"Photography","This course introduces students to the fundamental concepts and techniques of photography, including camera functions, exposure, composition, lighting, and image processing. Students will learn both the technical and artistic aspects of photography, and will be required to complete various projects and assignments to demonstrate their mastery of the material.","0","0","1","Basic understanding of digital file management and basic computer skills.","None", "4","Art","The Camera, by Ansel Adams; The Photographer's Eye, by John Szarkowski","Art"
"Sculpting","Introduction to traditional and contemporary sculpture techniques, including carving, casting, modeling, and assemblage. Emphasis is on the exploration of form, materials, and spatial relationships in three-dimensional art.","0","0","1","Manual dexterity, creativity, attention to detail","None","6","Art and Craft industries","Sculpture Today, The Sculptor's Bible: The All Media Reference to Surface Effects and How to Achieve Them, Modeling the Figure in Clay, 30th Anniversary Edition: A Sculptor's Guide to Anatomy","Art"
"AP Drawing Portfolio","This course prepares students for the AP Drawing portfolio exam through the development of a portfolio that shows growth and mastery in concept, composition, and execution of drawing.","1","0","0","Proficiency in basic drawing skills, Completion of introductory art courses","Drawing I and II or teacher approval","10","Art","AP Studio Art: Drawing Design or Barron's AP Art and Design","Art"
"AP 2D Design","This course focuses on the development of technical skills in visual arts through design elements such as line, value, texture, color, and shape. It also covers design principles such as balance, contrast, emphasis, movement, pattern, and unity. Students will create a portfolio that demonstrates mastery in 2D design through a variety of media and techniques.","1","0","0","drawing and painting, basic understanding of design principles","Completion of Art Foundations or teacher approval","10","Art","Design Basics: 2D and 3D by Stephen Pentak and Richard Roth, Design Principles and Problems by Paul Zelanski and Mary Pat Fisher"
"AP 3D Design","This course is designed to help students develop technical mastery and intuitive understanding of three-dimensional design. Students will experiment with various materials and techniques, create original works of art, and learn to analyze and critique three-dimensional artwork. This course is intended for students who are serious about pursuing art at the college level or as a career.","1","0","0","drawing and composition, experience with 3D design software","Completion of at least one high school level art course, a portfolio of 2D or 3D artwork","10","Art","Design Basics: 3D Design"
"AP Art History","This course is an introduction to the history of art from prehistoric times to the present day. The course focuses on the study of painting, sculpture, architecture, and other art forms within diverse historical and cultural contexts. The course also explores the role of art in society and its relationship to politics, religion, and economics.","1","1","0","A strong interest in art and history, as well as strong analytical and critical thinking skills are recommended.","None","10","Art History","Gardner's Art Through the Ages"
"Algebra 1","This course covers fundamental concepts of algebra, including solving equations and inequalities, graphing linear and quadratic functions, and manipulating polynomials. Students also explore systems of equations, exponents and radicals, and probability and statistics. ","0","0","1","Basic math skills","None", "8","Education, Finance, Data Science", "Glencoe Algebra 1", "Math"
"Advanced Algebra 1","This course is designed to deepn students' understanding of the concepts and skills introduced in Algebra 1. Topics covered include linear and quadratic functions, systems of linear equations, polynomials, and rational expressions. Students will also be introduced to logarithmic and exponential functions.","0","1","0","Knowledge of basic algebraic concepts","Successful completion of Algebra 1","8","STEM, Education","Algebra 1: An Incremental Development by John H. Saxon Jr. and Stephen Hake"
"Geometry","Geometry is a branch of mathematics that deals with the properties and relationships of points, lines, angles, surfaces, and solids. It covers topics such as congruence, similarity, the Pythagorean theorem, and basic trigonometry. Students will also learn how to use various tools and techniques to measure and construct geometric figures.","0","1","0","Algebra 1","Algebra 1","5","Math","Geometry: A Guided Inquiry by Geralyn M. Koeberlein, Michael W. Serra, and David G. Kleinbaum, Geometry by Ray C. Jurgensen and Richard G. Brown, Euclidean and Non-Euclidean Geometries: Development and History by Marvin Jay Greenberg","Math"
"Advanced Geometry","This course is designed for students who have a strong foundation in basic geometry concepts and are ready to tackle more challenging topics. The course covers advanced topics such as higher-dimensional geometry, non-Euclidean geometry, and topology. Students will be expected to have a strong grasp of algebraic concepts as well as basic geometry concepts.","0","1","0","Strong Algebraic foundation, proficiency in basic geometry concepts","Completion of Algebra 1","7","Engineering, Architecture, Mathematics","Geometry: Euclid and Beyond (Robin Hartshorne), Topology (James R. Munkres)","Math"
"Algebra 2","This course is a continuation of Algebra 1, which focuses on advanced algebraic concepts such as quadratic functions, systems of equations, and logarithmic and exponential functions. Students will also study topics such as matrices, complex numbers, and trigonometry.","0","0","1","Strong foundation in Algebra 1","Algebra 1","10","Math","Algebra 2: Common Core","Math"
"Advanced Algebra 2","This course covers advanced topics in algebra such as functions, systems of equations and inequalities, matrices, and conic sections. Students will explore the real-world applications of these concepts.","0","1","0","Strong foundation in Algebra 1, Precalculus recommended","Algebra 1, Geometry, Algebra 2","5","Math","Advanced Algebra 2: Concepts, Skills, and Problem Solving by McGraw-Hill Education"
"Precalculus","Precalculus is a course designed to prepare students for calculus. The course includes topics such as functions and their graphs, polynomial and rational functions, exponential and logarithmic functions, trigonometry, and vectors. Emphasis is placed on problem-solving and mathematical reasoning.","0","1","0","Algebra 2, Geometry","Advanced Algebra 2","8","Mathematics","Precalculus: Mathematics for Calculus, 7th Edition by James Stewart","Math"
"Honors Precalculus","This course is a more rigorous and in-depth study of the topics covered in Precalculus, including functions and their properties, trigonometry, conic sections, matrices, and sequences and series. Students will develop problem-solving skills and learn to apply mathematical concepts to real-world situations. This course is designed for students who have a strong foundation in algebra and geometry.","0","1","0","Algebra, Geometry","Algebra 2, Geometry","8","Math","Precalculus: Graphical, Numerical, Algebraic (8th Edition) by Franklin D. Demana, Bert K. Waits, Gregory D. Foley, Daniel Kennedy","Math"
"College Readiness Math","This course is designed to prepare students for college-level math courses by reviewing and strengthening their foundational math skills. Topics may include algebra, geometry, trigonometry, and basic statistics. Emphasis will be placed on problem-solving and critical thinking skills.","0","1","1","Algebra, Geometry, Trigonometry, Basic Statistics","Completion of Algebra 2 or equivalent","5","Education","College Readiness Math by Pearson Education","Math"
"AP Statistics","This course covers the basic principles of statistical analysis and data modeling. Students will learn to use statistical software to analyze data sets and make predictions based on those analyses.","1","0","0","knowledge of algebra and geometry","Algebra 2","10","Math","The Practice of Statistics by Yates, Moore, and Starnes","Math"
"AP Calculus AB","This course covers the topics of limits, derivatives, integrals, and the Fundamental Theorem of Calculus. Students will study the applications of these topics to real-world problems, including optimization and related rates. The course will also cover techniques of integration and differential equations. Students will develop their ability to think critically and solve problems using calculus concepts.","1","1","0","Strong algebraic skills, strong foundation in precalculus and trigonometry","Honors Precalculus, Precalculus, Advanced Algebra 2","10","Math","Calculus: Early Transcendentals, by James Stewart; Calculus, by Michael Spivak","Math"
"AP Calculus BC","This course covers topics in differential and integral calculus, including limits, derivatives, integrals, series, polar coordinates, and parametric equations. Students will use calculus concepts and techniques to model and solve real-world problems. The course is designed to prepare students for the AP Calculus BC exam. Students should have a strong foundation in algebra, geometry, and trigonometry.","1","0","0","Algebra, Geometry, Trigonometry","Pre-Calculus","10","STEM","Calculus of a Single Variable, Early Transcendentals by James Stewart","Math"
"Theater","Theater is an introductory course that explores the elements of drama, performance, and theatrical production. Students will study acting, directing, design, and technical theater. They will also analyze scripts, create original work, and participate in the production of a play or musical. Through this course, students will develop skills in critical thinking, collaboration, creativity, and communication.","0","0","1","None","None","5","Performing Arts","Theater: The Lively Art by Edwin Wilson, The Essential Theater by Oscar G. Brockett","Elective"
"Acting","This course introduces students to the fundamental principles and techniques of acting, including character development, script analysis, voice and movement work, and improvisation. Students will participate in various exercises and scene work to develop their skills in performing, interpreting text, and creating believable characters. Through individual and group work, students will also learn to collaborate effectively and to provide constructive feedback to their peers.","0","1","0","Creativity, public speaking, teamwork","None","6","Performing arts","The Art of Acting, An Actor Prepares","Elective"
"Musical Theater","This course introduces students to the basics of musical theater, including singing, acting, and dancing. Students will explore various styles of musical theater, including classical, contemporary, and popular. Emphasis will be placed on the development of vocal technique, acting skills, and dance ability. Students will also learn about the history and evolution of musical theater, as well as the collaborative nature of the art form. By the end of the course, students will have the skills and knowledge necessary to audition for and perform in a musical theater production.","0","1","0","Basic knowledge of singing, acting, and dance","None","5","Entertainment","The Complete Book of Scales, Chords, Arpeggios & Cadences: Includes All the Major, Minor (Natural, Harmonic, Melodic) & Chromatic Scales — Plus Additional Instructions on Music Fundamentals by Willard A. Palmer, Morton Manus, and Amanda Vick Lethco","Art"
